SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Områder,Nyborg,,Line,#FFB124,#FFB124,55.359729778,10.8190949,"55.359729778,10.8190949 55.365974158,10.77789617 55.356607219,10.747683768 55.336304579,10.717471365 55.312865522,10.687258963 55.290976562,10.692752127 55.267510701,10.711978201 55.262815864,10.736697439 55.261250795,10.775149588 55.259685665,10.816348318 55.264380871,10.852053885 55.2862845,10.854800467 55.319117293,10.863040213 55.331617877,10.854800467 55.359729778,10.8190949","smee8f9394",Udkald,Områder
Områder,Hanstholm,,Polygon,#FFB124,#3E9FB0,57.128023478,8.619367763,"57.128023478,8.619367763 57.120196239,8.584348842 57.08140838,8.558256312 57.060132426,8.591215297 57.064239262,8.631727382 57.076183837,8.666059657 57.091109151,8.696272059 57.107892949,8.701078578 57.120569002,8.666059657 57.128023478,8.619367763","smc9cb6ac8",Udkald,Områder
Områder,Kolding,,Polygon,#FFB124,#FFB124,55.633052163,9.370920782,"55.633052163,9.370920782 55.654364648,9.373667364 55.662756318,9.312912432 55.655784094,9.266220538 55.516345906,9.106755166 55.456431494,9.055943398 55.414359223,9.113621621 55.397985671,9.452824501 55.441121413,9.536431259 55.452025952,9.5913629 55.466041646,9.638054794 55.481302528,9.648153906 55.492779451,9.623777991 55.493654666,9.596483832 55.590406797,9.478753036 55.609027665,9.410088486 55.609027665,9.410088486 55.633052163,9.370920782","smfe2f26b4",Udkald,Områder
Områder,Fredericia,,Polygon,#FFB124,#FFB124,55.610952439,9.59356559,"55.610952439,9.59356559 55.614054906,9.636137611 55.617932645,9.680769569 55.62413623,9.694502479 55.652427628,9.7295214 55.655914194,9.771406776 55.632291334,9.820702499 55.601270046,9.828942245 55.568671275,9.812462753 55.553138533,9.784996933 55.525164117,9.757531112 55.506240054,9.697358475 55.505808516,9.613134989 55.592817489,9.507048257 55.610952439,9.59356559","sm2ecd5fd5",Udkald,Områder
Områder,Esbjerg,,Polygon,#FFB124,#FFFFFF,55.556759231,8.302094802,"55.556759231,8.302094802 55.558075845,8.43519462 55.528787395,8.66464363 55.485232911,8.711247357 55.410461375,8.672795209 55.373025634,8.510835036 55.382388688,8.291108473 55.454098501,8.203217848 55.513235714,8.222355756 55.556759231,8.302094802","sm700b9efc",Udkald,Områder
Områder,Vejle,,Polygon,#FFB124,#FFFFFF,55.617878266,9.582345353,"55.617878266,9.582345353 55.624275704,9.674012528 55.657603035,9.720704423 55.666448424,9.803553013 55.666448424,9.874964146 55.687031496,9.941804276 55.697867984,10.087373123 55.745822039,10.068147049 55.83727011,10.097563393 55.838426841,10.008986123 55.80293812,9.932768471 55.797534824,9.871657021 55.768092996,9.785826331 55.793578365,9.754240637 55.805157113,9.7370745 55.814239059,9.701569511 55.810698157,9.620454178 55.840011409,9.584748611 55.850805461,9.485871658 55.853888926,9.386994705 55.809154746,9.348542556 55.771279581,9.399931557 55.718715995,9.419157631 55.679246822,9.423277504 55.654848889,9.392378456 55.636637347,9.385855324 55.615896881,9.419157631 55.59708529,9.485418922 55.617878266,9.582345353","sm46a228ea",Udkald,Områder
Områder,Horsens,,Polygon,#FFB124,#FFB124,55.976134644,9.864991142,"55.976134644,9.864991142 55.986568268,9.81350937 55.996169592,9.750337983 56.00231319,9.641161346 56.004616786,9.595842743 56.001545293,9.560137177 55.976196155,9.542284393 55.923139691,9.560137177 55.895367548,9.599945976 55.869178289,9.609559012 55.846826429,9.630158379 55.831403862,9.665863944 55.82137591,9.704316093 55.814300834,9.74587479 55.777824681,9.791536715 55.808258536,9.873230889 55.81422473,9.934828405 55.830618245,9.971907263 55.849895888,10.007269506 55.849779197,10.100183872 55.897677516,10.086090996 55.924616989,10.07785125 55.944617052,10.043518974 55.969986886,9.965241387 55.969986886,9.965241387 55.976134644,9.864991142","sm94702ba6",Udkald,Områder
dsb ruter.geojson,Banen silkeborg,,Line,#858585,,56.053076876,9.844058585,"56.053076876,9.844058585 56.061767395,9.827033035 56.064647748,9.821091175 56.075778404,9.797170731 56.081690598,9.785824203 56.088014945,9.775199124 56.094188405,9.764295405 56.097111975,9.759714542 56.100936946,9.754210612 56.111235973,9.74086937 56.114480018,9.736087216 56.117572356,9.730692119 56.120148052,9.725462902 56.12245546,9.719161735 56.124535507,9.71221285 56.126331517,9.703918393 56.12750672,9.696296371 56.128550052,9.687082587 56.129216416,9.679027522 56.129721943,9.670892186 56.130865589,9.644857889 56.131323438,9.637781877 56.131943265,9.630628302 56.133135933,9.622843088 56.134685972,9.616254137 56.136849039,9.608568733 56.139291276,9.601057071 56.141620383,9.594706717 56.144161414,9.58853681 56.147211733,9.581915322 56.150110358,9.576228408 56.152979809,9.571551794 56.156747658,9.567256176 56.160559857,9.564221126 56.164535434,9.562069317 56.166947412,9.561322074 56.168023813,9.555671127 56.168023813,9.548461349 56.16706806,9.536445053 56.164009492,9.521682176 56.15827402,9.510695848 56.154832325,9.498336229 56.152346466,9.485976611 56.147565515,9.469497118 56.146035485,9.455764209 56.144122862,9.429671682 56.144122862,9.413878835 56.148712998,9.402205864 56.155597174,9.391906181 56.160185939,9.383666435 56.164774156,9.372680107 56.167832663,9.358947197 56.167068059,9.346587578 56.158656411,9.340407769 56.149477967,9.330794733 56.144122862,9.323928278 56.141445029,9.31294195 56.142210143,9.300582331 56.146035485,9.284789485 56.146800508,9.267623347","smd178e919",Udkald,dsb ruter.geojson
dsb ruter.geojson,Banen Viborg,,Line,#858585,,56.483935087,8.779758048,"56.483935087,8.779758048 56.486592336,8.785580307 56.489494495,8.791292441 56.502029488,8.813881539 56.512471643,8.833415342 56.525392697,8.856683149 56.535215615,8.8760092 56.538006222,8.882071981 56.541036927,8.889259044 56.543285373,8.895230061 56.547323401,8.907903925 56.551303263,8.921453418 56.55560022,8.93748106 56.565909339,8.979674703 56.567561003,8.987288486 56.568891101,8.997248553 56.569399459,9.005139368 56.569404642,9.013334072 56.568552841,9.0203049 56.565965545,9.03383964 56.564636893,9.042773393 56.563785407,9.050699485 56.563305372,9.058645068 56.563291637,9.066777825 56.563714968,9.073889868 56.564490965,9.081262627 56.565490977,9.088369303 56.566909882,9.095444545 56.56905144,9.102105736 56.571594616,9.108018374 56.574400125,9.112685212 56.57772169,9.117534225 56.580713647,9.123299801 56.582707765,9.129178193 56.58405322,9.135939195 56.583453287,9.142889661 56.581430245,9.148907737 56.578662407,9.154384079 56.576736102,9.157083383 56.575072752,9.159414101 56.57108113,9.163455222 56.567176095,9.166263154 56.563265328,9.167993945 56.558931567,9.168505338 56.555019493,9.16784433 56.550657263,9.16570129 56.547030362,9.163074145 56.542791646,9.159272813 56.531992285,9.147570779 56.5278344,9.143500384 56.523717809,9.140412826 56.519663356,9.137919211 56.515400181,9.135977785 56.511106188,9.134734965 56.506664255,9.134314173 56.502120231,9.136425172 56.498677798,9.140409843 56.495890044,9.145731186 56.489617296,9.164824796 56.486282048,9.176896919 56.484273986,9.184702169 56.482557159,9.192204525 56.481243,9.199651201 56.48021957,9.207434984 56.479446257,9.215419091 56.478782578,9.224871858 56.47754294,9.252398047 56.476885181,9.262035333 56.476287359,9.268943054 56.473724538,9.28996493 56.472704248,9.297056906 56.471045124,9.306995416 56.469540961,9.314343121 56.466259017,9.328442184 56.460786853,9.349519888 56.457178032,9.365006695 56.454928765,9.379302962 56.454028448,9.387195281 56.453490996,9.395112461 56.453499947,9.397739503","smed99d10e",Udkald,dsb ruter.geojson
dsb ruter.geojson,Banen Struer,,Line,#858585,,56.499288309,8.598188189,"56.499288309,8.598188189 56.493035883,8.605259158 56.484904718,8.61379258 56.477340256,8.619856142 56.469128067,8.62466872 56.460530844,8.628385913 56.451708936,8.631194859 56.442889092,8.633047232 56.433839246,8.633203676 56.433280791,8.633102253","sm83374ab8",Udkald,dsb ruter.geojson
