SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
VK JD,Overlay,,Line,#1F49FF,,56.486815303,9.147217619,"56.486815303,9.147217619 56.486514675,9.146989631 56.486328076,9.146742868 56.486031886,9.146447826 56.486031886,9.146447826","smbf78244c",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.487518734,9.148113477,"56.487518734,9.148113477 56.487505406,9.148244905 56.487352874,9.148711609 56.48734695,9.149164903 56.48721663,9.149532365 56.487209226,9.149631607 56.487224035,9.149706709 56.487266981,9.149741577 56.487266981,9.149741577","smf4410230",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.487151469,9.151544019,"56.487151469,9.151544019 56.487269942,9.151171192 56.487269942,9.151171192","sm1e8820d3",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.487444689,9.151621802,"56.487444689,9.151621802 56.487107042,9.151718362 56.4868464,9.151621802 56.4868464,9.151616438","sm22a64b17",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.486470244,9.151358946,"56.486470244,9.151358946 56.486616857,9.151431365 56.486616857,9.151431365","smcb70b113",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.485615731,9.150449678,"56.485615731,9.150449678 56.486227368,9.150642797 56.486227368,9.150642797 56.486328073,9.149524317 56.486328073,9.149524317","sm1b45b1b2",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.485549084,9.150133178,"56.485549084,9.150133178 56.485544642,9.150224373 56.485543161,9.150224373","smf9dc4efc",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.485861572,9.147346363,"56.485861572,9.147346363 56.485817143,9.147732601 56.485817143,9.147732601","sm4e9942ba",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.48579641,9.147324905,"56.48579641,9.147324905 56.485756424,9.147748694 56.485756424,9.147748694","sm13609f91",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484787859,9.149985661,"56.484787859,9.149985661 56.484756758,9.15015464 56.484756758,9.15015464","sm33bccbfb",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484932998,9.148132253,"56.484932998,9.148132253 56.484740468,9.148137617 56.484740468,9.148137617","smdab5886f",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484345039,9.146944036,"56.484345039,9.146944036 56.484345039,9.147080828 56.484345039,9.147080828","smf365f465",Viborg,VK JD
