SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,Dage,Status,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Marker,Høj,217,,56.5798368,9.028825,"56.5798368,9.028825","sm9384d1c7",Resenvej 89 Skive,Resenvej 89,7800,Skive,Høj,0,0,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,217,,List 3/10-2025,Høj
Marker,Høj,29,,56.4566088,9.3576186,"56.4566088,9.3576186","sm0a731ef3",Mariendalsvej 28 SEC Viborg,Mariendalsvej 28,8800,Viborg,Høj,0,0,IngenApp,SEC,0,ViborgSkive,AlleDage,Aktiv,29,,List 3/10-2025,Høj
Marker,Høj,28,,56.4562186,9.357661,"56.4562186,9.357661","smdc76115c",Mariendalsvej 26 Pierre Viborg,Mariendalsvej 26,8800,Viborg,Høj,0,0,IngenApp,Pierre autolak,0,ViborgSkive,KunHverdage,Aktiv,28,,List 3/10-2025,Høj
Marker,Høj,7,,56.447605,9.3922072,"56.447605,9.3922072","sm95b81d1b",Erik ejegodsvej Deas 1-23Viborg,Erik Ejegodsvej 1,8800,Viborg,Høj,0,Vejsalt,IngenApp,Deas andre,0,ViborgSkive,AlleDage,Aktiv,7,,List 3/10-2025,Høj
Marker,Høj,44,,56.4518582,9.4075357,"56.4518582,9.4075357","sme781a166",Gravene 37 Føtex Viborg,Gravene 37,8800,Viborg,Høj,Hængelås 4231,0,0,Salling Group,0,ViborgSkive,AlleDage,Aktiv,44,,List 3/10-2025,Høj
Marker,Høj,209,,56.5702092,9.0301291,"56.5702092,9.0301291","sm66ac09e3",Resenvej 10 Politiet skive,Resenvej 10,7800,Skive,Høj,2020#,0,KsForstas,Politiet,0,ViborgSkive,AlleDage,Aktiv,209,,List 3/10-2025,Høj
Marker,Høj,2,,56.454333,9.4057222,"56.454333,9.4057222","sm10503716",Rødevej 1 Politi Viborg,"Rødevej 1, 8800 Viborg",8800,Viborg,Høj,2024#,0,KsForstas,Politiet,0,ViborgSkive,AlleDage,Aktiv,2,,List 3/10-2025,Høj
Marker,Høj,46,,56.4252153,9.4549953,"56.4252153,9.4549953","sm2ac60989",Vibækvej 41 Viborg,Vibækvej 41,8800,Viborg,Høj,2900 er koden til nøgleboksen og kortlæseren er også 2900,0,0,snevagten andre,vagttelefon står på lågen,ViborgSkive,AlleDage,Aktiv,46,2900 er koden til nøgleboksen og kortlæseren er også 2900. vagttelefon står på lågen Nøgleboks med kortet og kortlæser er til venstre for porten.,List 3/10-2025,Høj
Marker,Høj,49,,56.453861,9.4071506,"56.453861,9.4071506","smc287c1c1",Rødevej 4 Risarkivet Viborg,Rødevej 4,8800,Viborg,Høj,Fjernbetjening,Grus,Winter Manager,Bygningsstyrelsen,0,ViborgSkive,AlleDage,Aktiv,49,,List 3/10-2025,Høj
Marker,Høj,216,,56.5624681,9.0263465,"56.5624681,9.0263465","sm66d9cddb",Søndergade 19 Føtex Skive,Søndergade 19,7800,Skive,Høj,0,0,0,Salling Group,0,ViborgSkive,AlleDage,Aktiv,216,,List 3/10-2025,Høj
Marker,Høj,4,,56.4601333,9.3752315,"56.4601333,9.3752315","smbc3d2743",Borgåvej 2 Ulriksdal Viborg,Borgåvej 2,8800,Viborg,Høj,0,0,IngenApp,Andre GF,0,ViborgSkive,AlleDage,Aktiv,4,,List 3/10-2025,Høj
Marker,Høj,34,,56.4484676,9.4491909,"56.4484676,9.4491909","sm28dfd914",Planetariet GF Viborg,neptunvej,8800,Viborg,Høj,0,0,IngenApp,Ingen,0,ViborgSkive,AlleDage,Aktiv,34,,List 3/10-2025,Høj
Marker,Høj,14,,56.437909,9.388818,"56.437909,9.388818","smc2fc08de",Firkløvervej 4 Ellekonebakken Viborg,Firkløvervej 4,8800,Viborg,Høj,8000 men 9000 til hovedport,0,IngenApp,Jorton,0,ViborgSkive,KunHverdage,Aktiv,14,Ingen blink på pladsen,List 3/10-2025,Høj
Marker,Høj,32,,56.4472143,9.3951595,"56.4472143,9.3951595","sm22469034",Middagshøjvej 46A-62 Brofæstet Viborg,Middagshøjvej 46A,8800,Viborg,Høj,0,Ecoform,IngenApp,Deas andre,0,ViborgSkive,AlleDage,Aktiv,32,,List 3/10-2025,Høj
Marker,Høj,45,,56.4465476,9.368183,"56.4465476,9.368183","smafd9d4f4",Holstebrovej 79 Bilka Viborg,Holstebrovej 79,8800,Viborg,Høj,0,0,0,Salling Group,0,ViborgSkive,AlleDage,Aktiv,45,,List 3/10-2025,Høj
Marker,Høj,Ø04,,56.5514323,9.0204269,"56.5514323,9.0204269","sm68aaa96b",Bilstrupvej 8 Umove Skive,Bilstrupvej 8,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø04,,List 3/10-2025,Høj
