SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
214,Overlay,,Line,#1F49FF,,55.537014883,9.624083541,"55.537014883,9.624083541 55.537101397,9.624823831","sm1b71e951",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,214
251,Overlay,,Line,#1F49FF,,55.543797054,9.614652407,"55.543797054,9.614652407 55.543918456,9.614781153 55.543918456,9.614778471","sm293c3039",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,251
251,Overlay,,Line,#1F49FF,,55.544000402,9.614424419,"55.544000402,9.614424419 55.54403227,9.614314448 55.544012543,9.614290308 55.544141532,9.613858473 55.544127874,9.613791418 55.544127874,9.613791418 55.544127874,9.613791418","smbfc65001",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,251
251,Overlay,,Line,#1F49FF,,55.544126358,9.61376996,"55.544126358,9.61376996 55.543740907,9.613643896 55.543740907,9.613643896","sm0842a425",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,251
218,Overlay,,Line,#1F49FF,,55.547036956,9.619727759,"55.547036956,9.619727759 55.547051371,9.619942336 55.546911011,9.620811372","sm38938d48",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,218
45,Overlay,,Line,#1F49FF,,55.570467282,9.145735316,"55.570467282,9.145735316 55.570403589,9.145547561 55.570355061,9.145362489 55.570306532,9.145118408 55.570279235,9.144919924 55.570271653,9.144745581","sm692dc26a",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,45
45,Overlay,,Line,#1F49FF,,55.570958625,9.14383363,"55.570958625,9.14383363 55.570910097,9.143758528 55.570834273,9.143726341","sm452acb40",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,45
45,Overlay,,Line,#1F49FF,,55.571781686,9.145304151,"55.571781686,9.145304151 55.571928781,9.144993014 55.572053129,9.14463628 55.572183543,9.144110567","sm313caa78",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 1,45
202,Overlay,,Line,#1F49FF,,55.585003953,9.772187283,"55.585003953,9.772187283 55.585003953,9.772243609","smae5e465f",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584956202,9.770105888,"55.584956202,9.770105888 55.585065349,9.770111252 55.585065349,9.770068337 55.585063833,9.77010857 55.585292739,9.770121981 55.585294255,9.769995917 55.585271516,9.769990553","sm2d8629d6",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583841968,9.777249952,"55.583841968,9.777249952 55.583868498,9.777245928","sm3b148c38",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583816197,9.779055078,"55.583816197,9.779055078 55.583884416,9.77905776 55.5838829,9.779025574","sma83465f4",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.585200267,9.775519926,"55.585200267,9.775519926 55.584848569,9.777772981","sm185c5269",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.585188137,9.774539577,"55.585188137,9.774539577 55.585190411,9.774425583 55.585169946,9.774428265 55.58516843,9.774540918","sm893bdbe0",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.585216939,9.773016082,"55.585216939,9.773016082 55.585218455,9.773134099 55.585199506,9.773128735 55.585196474,9.773017423","sm76fce102",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584668168,9.774510077,"55.584668168,9.774510077 55.584668926,9.774385354","sme2efd037",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584279324,9.774498005,"55.584279324,9.774498005 55.584279324,9.77435853","sm144a9b6c",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583889719,9.77433439,"55.583889719,9.77433439 55.583885171,9.774479229","sm3ea74a2c",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583512237,9.773036201,"55.583512237,9.773036201 55.583515269,9.772907455","sma1b08bee",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583906395,9.773056318,"55.583906395,9.773056318 55.583908669,9.772927572","smfa8bc1c9",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584689391,9.77310594,"55.584689391,9.77310594 55.584693939,9.772979876","sm6ee2c12e",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584302822,9.773084482,"55.584302822,9.773084482 55.584304338,9.772953054","sm6a1a78f0",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584486254,9.772566816,"55.584486254,9.772566816 55.584419552,9.772564133","sm333eaa5f",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.58449535,9.771984776,"55.58449535,9.771984776 55.584428648,9.771979412","smab0defc5",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584510509,9.77123644,"55.584510509,9.77123644 55.584445323,9.771233758","sm30177957",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.584137585,9.772847106,"55.584137585,9.772847106 55.584146681,9.772350898 55.584152745,9.772023668 55.584151229,9.771779587 55.584133037,9.771640112 55.584120909,9.771602561 55.583917768,9.771586468 55.584117877,9.771597197 55.584120909,9.771551599 55.584120909,9.771414806 55.584123941,9.771154632 55.584127731,9.770921279","sm0e13cecc",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583535741,9.772812236,"55.583535741,9.772812236 55.583765413,9.771925768 55.583641102,9.771924427 55.583764655,9.771925768 55.583758591,9.771772882 55.583766929,9.771924427 55.58382681,9.772275797 55.583872289,9.772450139 55.583969312,9.772772004 55.583990535,9.772833695","smc7bc0887",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583491777,9.774453748,"55.583491777,9.774453748 55.583490261,9.774314273","sm26fe37db",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.58333108,9.770905185,"55.58333108,9.770905185 55.583321984,9.771516729 55.583311372,9.772096086 55.58330076,9.772514511 55.583302276,9.772648622 55.583299244,9.772769321 55.583274987,9.774231125 55.583255279,9.775081385 55.583249217,9.775545407 55.583355337,9.775550771 55.583353821,9.775757302 55.583382625,9.775859225 55.583353821,9.775757302 55.583368981,9.774947274 55.583459941,9.77475952 55.583455393,9.77494191","sm8fda7588",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583414462,9.767234582,"55.583414462,9.767234582 55.583456152,9.767237264","sm80c3a0ea",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583090036,9.767211783,"55.583090036,9.767211783 55.583254523,9.767227876","sm655dd072",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583344725,9.77040227,"55.583344725,9.77040227 55.583334871,9.770497489 55.583333355,9.7707295 55.583356095,9.770776438 55.583422799,9.77077778 55.583530435,9.770784484 55.58375935,9.770797895 55.584130764,9.770816671 55.584297521,9.770822035 55.584487775,9.770830082 55.584265687,9.770823376 55.584267203,9.770179645 55.583968556,9.770176963 55.584267203,9.770179645 55.584274783,9.76935889","sm77d52d9d",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583657778,9.770261453,"55.583657778,9.770261453 55.58366081,9.77034192 55.583686582,9.770449208 55.58372145,9.770545768 55.583753286,9.770663785 55.583769961,9.77075498 55.583782089,9.770795213","sm67b0c1c5",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.58366839,9.77002274,"55.58366839,9.77002274 55.583669906,9.769944956 55.583677486,9.769864489 55.583695678,9.769765247 55.583741158,9.769641864 55.583809377,9.769494342 55.583877596,9.769352185 55.583939752,9.769234168 55.583991295,9.769151019","sm5df8effa",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
202,Overlay,,Line,#1F49FF,,55.583378837,9.767953413,"55.583378837,9.767953413 55.583368225,9.768790263 55.583356097,9.769556033 55.583347758,9.769865829 55.583362918,9.769896674 55.583387932,9.76990338 55.583499358,9.769906062 55.583542564,9.769910085 55.583575916,9.76991545 55.583601688,9.769953001 55.583616089,9.769990554 55.583632764,9.770033469","sm835136d6",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,202
243,Overlay,,Line,#1F49FF,,55.568667704,9.75707138,"55.568667704,9.75707138 55.568658605,9.759037439 55.56867832,9.759093766 55.569418399,9.759112541 55.569289493,9.758396391 55.569121156,9.75760514 55.568961246,9.757034693","sm36addc8e",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,243
253,Overlay,,Line,#1F49FF,,55.564996381,9.740626591,"55.564996381,9.740626591 55.564738539,9.740489798 55.564746122,9.740438836 55.564743089,9.740371781 55.564733989,9.740304726 55.564711238,9.740237671 55.564674837,9.740208166 55.564636918,9.740208166 55.564588383,9.740240353 55.564551982,9.740304726 55.564539848,9.740379828 55.564542882,9.740449565 55.564561082,9.740521985 55.56459445,9.740572947 55.564635402,9.740580993 55.56467787,9.740556853 55.564705171,9.740535396 55.564733989,9.740495163 55.564733989,9.740495163 55.564738539,9.740489798 55.564738539,9.740489798 55.564735506,9.74049248 55.564735506,9.74049248 55.564735506,9.74049248","smdbfc137b",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,253
253,Overlay,,Line,#1F49FF,,55.564982731,9.740602451,"55.564982731,9.740602451 55.564928129,9.740162569 55.564835609,9.739980178 55.564741573,9.739883619 55.564641469,9.739862161 55.564550465,9.739886301 55.564479179,9.739939945 55.564421543,9.740023094 55.564374524,9.740138429 55.56435329,9.740243035 55.564338123,9.74038251 55.56434874,9.740530031 55.564369974,9.740634637 55.564415476,9.740760701 55.564465528,9.74084385 55.564514064,9.740894812 55.564591417,9.740948456 55.56467332,9.740943092 55.564727922,9.740924316 55.564799208,9.740878718 55.564982731,9.74061318 55.564982731,9.74061318","smf9d7eddc",Fredericia,Sti maskiner,M. Buchhave Stimaskiner,M. Buchhave 2,253
